Region,Code,Crime_name,Year,Value
Sicilia,PORNO,pornografia minorile e detenzione di materiale pedopornografico,2017,45
Sicilia,PORNO,pornografia minorile e detenzione di materiale pedopornografico,2018,63
Sicilia,PORNO,pornografia minorile e detenzione di materiale pedopornografico,2019,79
Sicilia,THEFT,furti,2010,94966
Sicilia,THEFT,furti,2011,104305
Sicilia,THEFT,furti,2012,109257
Sicilia,THEFT,furti,2013,112186
Sicilia,THEFT,furti,2014,112420
Sicilia,THEFT,furti,2015,100195
Sicilia,THEFT,furti,2016,91106
Sicilia,THEFT,furti,2017,82425
Sicilia,THEFT,furti,2018,78924
Sicilia,THEFT,furti,2019,72329
Sicilia,BAGTHEF,furti con strappo,2010,1849
Sicilia,BAGTHEF,furti con strappo,2011,2548
Sicilia,BAGTHEF,furti con strappo,2012,2834
Sicilia,BAGTHEF,furti con strappo,2013,2527
Sicilia,BAGTHEF,furti con strappo,2014,2721
Sicilia,BAGTHEF,furti con strappo,2015,1935
Sicilia,BAGTHEF,furti con strappo,2016,1624
Sicilia,BAGTHEF,furti con strappo,2017,1341
Sicilia,BAGTHEF,furti con strappo,2018,1157
Sicilia,BAGTHEF,furti con strappo,2019,955
Sicilia,PICKTHEF,furti con destrezza,2010,3311
Sicilia,PICKTHEF,furti con destrezza,2011,3495
Sicilia,PICKTHEF,furti con destrezza,2012,3856
Sicilia,PICKTHEF,furti con destrezza,2013,4226
Sicilia,PICKTHEF,furti con destrezza,2014,4895
Sicilia,PICKTHEF,furti con destrezza,2015,4531
Sicilia,PICKTHEF,furti con destrezza,2016,4550
Sicilia,PICKTHEF,furti con destrezza,2017,4518
Sicilia,PICKTHEF,furti con destrezza,2018,4101
Sicilia,PICKTHEF,furti con destrezza,2019,3443
Sicilia,BURGTHEF,furti in abitazioni,2010,11069
Sicilia,BURGTHEF,furti in abitazioni,2011,13085
Sicilia,BURGTHEF,furti in abitazioni,2012,17164
Sicilia,BURGTHEF,furti in abitazioni,2013,17190
Sicilia,BURGTHEF,furti in abitazioni,2014,15799
Sicilia,BURGTHEF,furti in abitazioni,2015,14792
Sicilia,BURGTHEF,furti in abitazioni,2016,13923
Sicilia,BURGTHEF,furti in abitazioni,2017,11467
Sicilia,BURGTHEF,furti in abitazioni,2018,10963
Sicilia,BURGTHEF,furti in abitazioni,2019,8682
Sicilia,SHOPTHEF,furti in esercizi commerciali,2010,4224
Sicilia,SHOPTHEF,furti in esercizi commerciali,2011,4311
Sicilia,SHOPTHEF,furti in esercizi commerciali,2012,4450
Sicilia,SHOPTHEF,furti in esercizi commerciali,2013,4501
Sicilia,SHOPTHEF,furti in esercizi commerciali,2014,4693
Sicilia,SHOPTHEF,furti in esercizi commerciali,2015,4799
Sicilia,SHOPTHEF,furti in esercizi commerciali,2016,4165
Sicilia,SHOPTHEF,furti in esercizi commerciali,2017,3784
Sicilia,SHOPTHEF,furti in esercizi commerciali,2018,4194
Sicilia,SHOPTHEF,furti in esercizi commerciali,2019,3774
Sicilia,VEHITHEF,furti in auto in sosta,2010,9387
